Station,2019_mean
AE000041196,28.251666666666665
AEM00041194,29.585833333333333
AEM00041217,29.4
AEM00041218,29.061666666666667
AFM00040938,18.2575
AFM00040948,14.323333333333334
AFM00040990,20.405
AG000060590,22.129166666666666
AG000060611,22.775
AGE00147718,23.175
AGE00147719,19.039166666666667
AGM00060355,19.56833333333333
AGM00060360,18.3125
AGM00060402,18.533333333333335
AGM00060403,18.091666666666665
AGM00060415,17.020833333333332
AGM00060421,15.754166666666666
AGM00060425,20.095833333333335
AGM00060430,18.1125
AGM00060437,15.241666666666667
AGM00060444,17.0175
AGM00060445,14.9525
AGM00060452,19.283333333333335
AGM00060457,18.370833333333334
AGM00060468,15.779166666666667
AGM00060475,16.0
AGM00060476,15.745833333333334
AGM00060490,18.875
AGM00060507,17.845833333333335
AGM00060514,17.666666666666668
AGM00060515,20.145833333333332
AGM00060518,19.866666666666667
AGM00060522,19.4675
AGM00060531,18.408333333333335
AGM00060535,15.35
AGM00060536,17.275
AGM00060540,17.275
AGM00060549,17.866666666666667
AGM00060550,15.325
AGM00060555,22.791666666666668
AGM00060557,16.858333333333334
AGM00060559,22.820833333333333
AGM00060560,18.45
AGM00060566,22.730833333333333
AGM00060571,21.791666666666668
AGM00060581,23.679166666666667
AGM00060602,24.208333333333332
AGM00060620,25.541666666666668
AGM00060640,24.791666666666668
AGM00060656,24.065
AGM00060670,23.216666666666665
AJ000037575,15.386666666666667
AJ000037985,15.723333333333333
ALM00013615,16.435
AM000037781,-1.925
AM000037789,14.579166666666667
AM000037801,5.719166666666666
AQW00061705,27.983333333333334
AR000000011,20.379166666666666
AR000087065,23.866666666666667
AR000087078,23.8875
AR000087129,20.6425
AR000087155,22.05
AR000087217,20.725
AR000087257,19.941666666666666
AR000087270,20.8625
AR000087344,17.479166666666668
AR000087374,18.8625
AR000087418,18.016666666666666
AR000087534,17.375
AR000087623,16.733333333333334
AR000087692,14.254166666666666
AR000087715,15.7375
AR000087803,9.0625
AR000087828,14.254166666666666
AR000087860,13.566666666666666
AR000087925,8.166666666666666
AR000870470,17.783333333333335
AR000875440,16.375
AR000875850,18.660833333333333
AR000877500,15.7
ARM00087016,22.525
ARM00087022,21.808333333333334
ARM00087046,19.670833333333334
ARM00087121,20.4
ARM00087148,21.858333333333334
ARM00087162,23.454166666666666
ARM00087166,21.773333333333333
ARM00087178,23.2375
ARM00087222,21.191666666666666
ARM00087244,18.495833333333334
ARM00087289,20.729166666666668
ARM00087311,18.5875
ARM00087320,20.020833333333332
ARM00087328,19.016666666666666
ARM00087349,17.9375
ARM00087395,19.179166666666667
ARM00087416,17.364166666666666
ARM00087436,18.545833333333334
ARM00087448,16.575
ARM00087453,17.183333333333334
ARM00087467,17.525
ARM00087480,18.020833333333332
ARM00087497,18.125
ARM00087506,13.0875
ARM00087509,16.379166666666666
ARM00087532,16.604166666666668
ARM00087548,16.6625
ARM00087576,17.358333333333334
ARM00087582,18.3775
ARM00087640,15.6625
ARM00087641,14.458333333333334
ARM00087645,13.758333333333333
ARM00087648,15.4625
ARM00087765,8.8125
ARM00087774,9.684166666666666
ARM00087784,14.679166666666667
ARM00087791,14.575
ARM00087852,9.441666666666666
ARM00087896,10.483333333333333
ARM00087909,10.1
ARM00087934,6.03
ARM00087938,6.1125
ASM00094299,26.570833333333333
ASM00094995,20.233333333333334
ASM00094998,5.358333333333333
ASN00001006,29.638333333333332
ASN00001007,28.6
ASN00002012,27.525
ASN00002056,28.38083333333333
ASN00003003,27.604166666666668
ASN00003032,28.801666666666666
ASN00003080,28.9475
ASN00004019,27.811666666666667
ASN00004032,27.5875
ASN00004083,27.825
ASN00004106,28.904166666666665
ASN00005007,25.795833333333334
ASN00005017,27.1675
ASN00006011,23.045833333333334
ASN00006105,23.066666666666666
ASN00007045,24.833333333333332
ASN00007176,26.170833333333334
ASN00007185,27.560833333333335
ASN00007600,23.470833333333335
ASN00008051,20.408333333333335
ASN00008095,21.9
ASN00008137,19.695
ASN00008251,21.8925
ASN00008296,21.335833333333333
ASN00008297,19.6525
ASN00009021,19.220833333333335
ASN00009053,19.578333333333333
ASN00009172,18.640833333333333
ASN00009178,18.656666666666666
ASN00009193,19.204166666666666
ASN00009215,19.194166666666668
ASN00009225,19.2375
ASN00009240,17.41
ASN00009518,17.445833333333333
ASN00009519,17.55
ASN00009538,16.861666666666668
ASN00009542,17.363333333333333
ASN00009573,16.020833333333332
